"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","1Y_Yield_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"67",1976-08-01,NA,-458,NA,NA,NA,-166106.657441774,-22527.1850303323,45238.4688225579,-223540.002342522,2.485,"sweden"
"68",1976-09-01,NA,49,NA,NA,NA,-163719.469504116,-21611.3327524444,44003.3026616457,-217139.695986357,2.4813,"sweden"
"69",1976-10-01,NA,-40,NA,NA,NA,-161355.259956857,-20720.5988740035,42789.7459245972,-210862.728417997,2.4733,"sweden"
"70",1976-11-01,NA,-361,NA,NA,NA,-159013.917688885,-19854.634876491,41597.6452549309,-204707.899637443,2.4465,"sweden"
"71",1976-12-01,NA,-838,NA,NA,NA,-156695.331589091,-19013.0922413883,40426.8472961653,-198674.009644694,2.4415,"sweden"
"72",1977-01-01,NA,-1419,NA,NA,NA,-154399.390546361,-18195.6224501771,39277.198691819,-192759.85843975,2.4496,"sweden"
"73",1977-02-01,NA,-950,NA,NA,NA,-152125.983449586,-17401.8769843387,38148.5460854104,-186964.246022613,2.4924,"sweden"
"74",1977-03-01,NA,-430,NA,NA,NA,-149874.999187654,-16631.5073253547,37040.7361204582,-181285.97239328,2.5209,"sweden"
"75",1977-04-01,NA,-800,NA,NA,NA,-147646.326649455,-15884.1649547064,35953.6154404807,-175723.837551754,2.5505,"sweden"
"76",1977-05-01,NA,-400,NA,NA,NA,-145439.854723876,-15159.5013538755,34887.0306889966,-170276.641498033,2.5264,"sweden"
"77",1977-06-01,NA,-360,NA,NA,NA,-143255.472299808,-14457.1680043434,33840.8285095243,-164943.184232117,2.5193,"sweden"
"78",1977-07-01,NA,160,NA,NA,NA,-141093.068266138,-13776.8163875915,32814.8555455824,-159722.265754007,2.4895,"sweden"
"79",1977-08-01,NA,-480,NA,NA,NA,-138952.531511756,-13118.0979851014,31808.9584406893,-154612.686063702,2.4105,"sweden"
"80",1977-09-01,NA,-1510,NA,NA,NA,-136833.750925551,-12480.6642783546,30822.9838383637,-149613.245161203,2.4084,"sweden"
"81",1977-10-01,NA,-420,NA,NA,NA,-134736.615396411,-11864.1667488324,29856.7783821239,-144722.74304651,2.3745,"sweden"
"82",1977-11-01,NA,-390,NA,NA,NA,-132661.013813225,-11268.2568780164,28910.1887154886,-139939.979719622,2.278,"sweden"
"83",1977-12-01,NA,370,NA,NA,NA,-130606.835064883,-10692.5861473881,27983.0614819763,-135263.75518054,2.1977,"sweden"
"84",1978-01-01,NA,660,NA,NA,NA,-128573.968040273,-10136.806038429,27075.2433251054,-130692.869429263,2.0772,"sweden"
"85",1978-02-01,NA,-70,NA,NA,NA,-126562.301628284,-9600.56803262048,26186.5808883946,-126226.122465792,1.9863,"sweden"
"86",1978-03-01,NA,640,NA,NA,NA,-124571.724717805,-9083.5236114441,25316.9208153622,-121862.314290126,1.9095,"sweden"
"87",1978-04-01,NA,400,NA,NA,NA,-122602.126197725,-8585.32425638132,24466.1097495269,-117600.244902266,1.8985,"sweden"
"88",1978-05-01,NA,1160,NA,NA,NA,-120653.394956932,-8105.62144891362,23633.9943344071,-113438.714302211,1.9052,"sweden"
"89",1978-06-01,NA,500,NA,NA,NA,-118725.419884316,-7644.06667052249,22820.4212135214,-109376.522489962,1.9652,"sweden"
"90",1978-07-01,NA,1300,NA,NA,NA,-116818.089868766,-7200.3114026894,22025.2370303882,-105412.469465519,1.8854,"sweden"
"91",1978-08-01,NA,-80,NA,NA,NA,-114931.29379917,-6774.00712689584,21248.2884285262,-101545.355228881,1.804,"sweden"
"92",1978-09-01,NA,-770,NA,NA,NA,-113064.920564417,-6364.80532462329,20489.4220514538,-97773.9797800485,1.6672,"sweden"
"93",1978-10-01,NA,960,NA,NA,NA,-111218.859053396,-5972.35747735322,19748.4845426895,-94097.1431190216,1.5697,"sweden"
"94",1978-11-01,NA,-80,NA,NA,NA,-109392.998154997,-5596.31506656713,19025.3225457519,-90513.6452458003,1.5365,"sweden"
"95",1978-12-01,NA,750,NA,NA,NA,-107587.226758107,-5236.3295737465,18319.7827041595,-87022.2861603845,1.675,"sweden"
"96",1979-01-01,NA,740,NA,NA,NA,-105801.433751616,-4892.05248037279,17631.7116614307,-83621.8658627742,1.6757,"sweden"
"97",1979-02-01,NA,-20,NA,NA,NA,-104035.508024413,-4563.13526792751,16960.9560610842,-80311.1843529695,1.6714,"sweden"
"98",1979-03-01,NA,130,NA,NA,NA,-102289.338465387,-4249.22941789212,16307.3625466384,-77089.0416309703,1.6752,"sweden"
"99",1979-04-01,NA,390,NA,NA,NA,-100562.813963426,-3949.98641174811,15670.7777616119,-73954.2376967767,1.6815,"sweden"
"100",1979-05-01,NA,580,NA,NA,NA,-98855.8234074195,-3665.05773097696,15051.0483495231,-70905.5725503886,1.7177,"sweden"
"101",1979-06-01,NA,-450,NA,NA,NA,-97168.2556862563,-3394.09485706015,14448.0209538906,-67941.8461918061,1.7273,"sweden"
"102",1979-07-01,NA,180,NA,NA,NA,-95499.9996888252,-3136.74927147917,13861.5422182329,-65061.8586210291,1.699,"sweden"
"103",1979-08-01,NA,-1040,NA,NA,NA,-93850.9443040152,-2892.67245571549,13291.4587860686,-62264.4098380577,1.6489,"sweden"
"104",1979-09-01,NA,-2500,NA,NA,NA,-92220.978420715,-2661.5158912506,12737.6173009161,-59548.2998428918,1.657,"sweden"
"105",1979-10-01,NA,400,NA,NA,NA,-90609.9909278138,-2442.93105956598,12199.8644062939,-56912.3286355314,1.6113,"sweden"
"106",1979-11-01,NA,-1110,NA,NA,NA,-89017.8707142002,-2236.5694421431,11678.0467457207,-54355.2962159766,1.6309,"sweden"
"107",1979-12-01,NA,-740,NA,NA,NA,-87444.5066687633,-2042.08252046346,11172.0109627148,-51876.0025842274,1.6429,"sweden"
"108",1980-01-01,NA,-570,NA,NA,NA,-85889.7876803919,-1859.12177600852,10681.6037007949,-49473.2477402836,1.599,"sweden"
"109",1980-02-01,12.7,-1860,NA,NA,NA,-84353.6026379748,-1687.33869025979,10206.6716034793,-47145.8316841454,1.5953,"sweden"
"110",1980-03-01,13.5,-50,NA,NA,NA,-82835.840430401,-1526.38474469873,9747.06131428678,-44892.5544158128,1.6406,"sweden"
"111",1980-04-01,13.5,-470,NA,NA,NA,-81336.3899465594,-1375.91142080682,9302.6194767357,-42712.2159352857,1.7643,"sweden"
"112",1980-05-01,13.6,-210,NA,NA,NA,-79855.1400753389,-1235.57020006555,8873.1927343446,-40603.6162425642,1.7614,"sweden"
"113",1980-06-01,13.3,-2160,NA,NA,NA,-78391.9797056283,-1105.01256395641,8458.62773063202,-38565.5553376482,1.6631,"sweden"
"114",1980-07-01,13.1,-890,NA,NA,NA,-76946.7977263165,-983.88999396086,8058.77110911647,-36596.8332205377,1.6339,"sweden"
"115",1980-08-01,13.2,-760,NA,NA,NA,-75519.4830262924,-871.853971560397,7673.46951331646,-34696.2498912328,1.6078,"sweden"
"116",1980-09-01,12.3,-2020,NA,NA,NA,-74109.924494445,-768.555978236498,7302.56958675052,-32862.6053497334,1.6522,"sweden"
"117",1980-10-01,15,-1290,NA,NA,NA,-72718.011019663,-673.647495470645,6945.91797293717,-31094.6995960396,1.6391,"sweden"
"118",1980-11-01,15.5,-980,NA,NA,NA,-71343.6314908355,-586.780004744319,6603.36131539492,-29391.3326301513,1.6619,"sweden"
"119",1980-12-01,14.6,-130,NA,NA,NA,-69986.6747968512,-507.604987539002,6274.74625764228,-27751.3044520686,1.726,"sweden"
"120",1981-01-01,14.1,140,NA,NA,NA,-68647.0298265991,-435.773925336175,5959.91944319779,-26173.4150617914,1.7854,"sweden"
"121",1981-02-01,12.5,-780,NA,NA,NA,-67324.585468968,-370.93829961732,5658.72751557996,-24656.4644593197,1.8224,"sweden"
"122",1981-03-01,12.9,-140,NA,NA,NA,-66019.2306128469,-312.749591863918,5371.01711830731,-23199.2526446536,1.9422,"sweden"
"123",1981-04-01,13,820,NA,NA,NA,-64730.8541471246,-260.85928355745,5096.63489489835,-21800.579617793,1.9219,"sweden"
