"","X","Date","Infl_d","BOT_d","Yield_d","FER_d","Int_d","PrimeRate_d","X1Y_Yield_d","GDPG_d","CA_d","FDI_d","Country.x","Infl_f","BOT_f","Yield_f","FER_f","Int_f","PrimeRate_f","GDPG_f","CA_f","FDI_f","Country.y","Exchange","Exchange_fut","Pct_Chg","X1Y_Yield_f"
"1107",1107,"1980-04-01",14.8,-2542,12.6,21491,20,18.31,1.3,-3459,3321,54350.8178877247,"usa",23.45,-32.73,NA,74200,NA,NA,-1335.56,400812,2172884.78208477,"mexico",NA,NA,NA,-40618.8391204381
"1108",1108,"1980-04-01",14.8,-2542,12.6,21491,20,18.31,1.3,-3459,3321,54350.8178877247,"usa",28.8,-462.55,NA,5577.4,NA,NA,-673.7,71164,5973679.62518016,"korea",NA,NA,NA,-5.55111512312578e-17
"1112",1112,"1980-05-01",14.7,-803,10.71,21645,11.5,19.77,-1.80769461467305,-3414.94923070756,4077.20779648514,53000.2652341495,"usa",8.04,-508.32,NA,18915,9,9.5,-2002274.15361395,269199886.278273,8.55035038827758,"japan",250.275,216.2852,-0.135809809209869,-4.39376754915682
"1113",1113,"1980-05-01",14.7,-803,10.71,21645,11.5,19.77,-1.80769461467305,-3414.94923070756,4077.20779648514,53000.2652341495,"usa",9.2,30,NA,3971.6,NA,16.75,-2067.82653059933,1410.88302696435,372289.48904031,"canada",1.1861,1.1464,-0.0334710395413539,0.600993864664213
"1116",1116,"1980-05-01",14.7,-803,10.71,21645,11.5,19.77,-1.80769461467305,-3414.94923070756,4077.20779648514,53000.2652341495,"usa",24.49,-43.43,NA,75200,NA,NA,-1678.91210333534,443104.798199227,2149683.63013871,"mexico",NA,NA,NA,-39878.8711447202
"1117",1117,"1980-05-01",14.7,-803,10.71,21645,11.5,19.77,-1.80769461467305,-3414.94923070756,4077.20779648514,53000.2652341495,"usa",26.6,-582.17,NA,5415.5,NA,NA,-618.237340360334,58612.1519423104,5930959.59444245,"korea",NA,NA,NA,-0.721324980148666
"1122",1122,"1980-06-01",14.4,-2550,10.2,21918,11.5,16.57,-5.59298215827653,-2532.76083793538,5056.0595255627,51672.2732810283,"usa",7.97,-453.59,NA,21404,9,9.5,-1909631.54046932,265111254.224406,8.83048575516736,"japan",228.6286,218.4141,-0.0446772625996923,-2.20293911842816
"1123",1123,"1980-06-01",14.4,-2550,10.2,21918,11.5,16.57,-5.59298215827653,-2532.76083793538,5056.0595255627,51672.2732810283,"usa",9.3,555,NA,4221.3,NA,13.75,-2484.13729878616,1142.98639361348,368473.493449591,"canada",1.1741,1.1556,-0.0157567498509496,0.149335937028122
"1126",1126,"1980-06-01",14.4,-2550,10.2,21918,11.5,16.57,-5.59298215827653,-2532.76083793538,5056.0595255627,51672.2732810283,"usa",24.89,-215.4,NA,77600,NA,NA,-2132.08589585727,470345.245801013,2126648.22269043,"mexico",NA,NA,NA,-39147.943501258
"1127",1127,"1980-06-01",14.4,-2550,10.2,21918,11.5,16.57,-5.59298215827653,-2532.76083793538,5056.0595255627,51672.2732810283,"usa",26.7,-487.97,NA,5557.8,NA,NA,-544.929932952927,37005.9379667843,5888443.72151707,"korea",NA,NA,NA,-1.31689308424806
"1132",1132,"1980-07-01",14.4,-1526,9.43,21943,10.75,12.63,-7.9,-940.999999999999,5756,50366.6520283612,"usa",8.24,-229.91,NA,22642,9,9.5,-1819884.94499232,261064222.59038,9.10031863841357,"japan",217.9176,218.5967,0.00311631552476718,-0.5
"1133",1133,"1980-07-01",14.4,-1526,9.43,21943,10.75,12.63,-7.9,-940.999999999999,5756,50366.6520283612,"usa",10,745,NA,4306.9,NA,13.25,-2631,910.034850078892,364683.662056101,"canada",1.1516,1.1724,0.0180618270232721,-0.22
"1137",1137,"1980-07-01",14.4,-1526,9.43,21943,10.75,12.63,-7.9,-940.999999999999,5756,50366.6520283612,"usa",25.97,-346.8,NA,79700,NA,NA,-2554.35,509810,2103777.96559692,"mexico",NA,NA,NA,-38426.0006344959
"1138",1138,"1980-07-01",14.4,-1526,9.43,21943,10.75,12.63,-7.9,-940.999999999999,5756,50366.6520283612,"usa",27,-258.4,NA,5419.4,NA,NA,-464.8,16805,5846131.51740401,"korea",NA,NA,NA,-1.2
"1142",1142,"1980-08-01",13.1,-172,10.25,21845,9.5,11.48,-7.17315184215204,1140.17308990724,5806.81469837386,49083.211476148,"usa",7.48,-213.45,NA,22793,9,9.5,-1732988.45977556,257058578.709529,9.35732979952239,"japan",221.1364,216.51,-0.0209210243089786,0.766901657979511
"1143",1143,"1980-08-01",13.1,-172,10.25,21845,9.5,11.48,-7.17315184215204,1140.17308990724,5806.81469837386,49083.211476148,"usa",10,882,NA,4018.7,NA,12.25,-2284.86837945076,709.695063027245,360919.904859839,"canada",1.1523,1.1639,0.010066822875987,-0.3418794954247
"1146",1146,"1980-08-01",13.1,-172,10.25,21845,9.5,11.48,-7.17315184215204,1140.17308990724,5806.81469837386,49083.211476148,"usa",27.5,-538.51,NA,6051.7,NA,NA,-393.64764260932,6422.26658268805,5804022.49310326,"korea",NA,NA,NA,-0.0651447301363368
"1147",1147,"1980-08-01",13.1,-172,10.25,21845,9.5,11.48,-7.17315184215204,1140.17308990724,5806.81469837386,49083.211476148,"usa",27.94,-383.86,NA,81300,NA,NA,-2840.16709721643,577896.063393549,2081072.26471519,"mexico",NA,NA,NA,-37712.9869888783
"1152",1152,"1980-09-01",12.9,117,10.83,22691,9.5,11.12,-4.25790671951744,3124.21817909571,5363.65176249909,47821.7616243889,"usa",8.25,-182.09,NA,23048,9,9.5,-1648896.17741162,253094109.915184,9.599,"japan",223.9138,217.9257,-0.0267428805191998,1.64961770736223
"1153",1153,"1980-09-01",12.9,117,10.83,22691,9.5,11.12,-4.25790671951744,3124.21817909571,5363.65176249909,47821.7616243889,"usa",10.9,851,NA,4269.3,NA,12.25,-1675.74038143007,539.633699125208,357182.131860805,"canada",1.1592,1.1706,0.00983436853002077,-0.250525425901814
"1156",1156,"1980-09-01",12.9,117,10.83,22691,9.5,11.12,-4.25790671951744,3124.21817909571,5363.65176249909,47821.7616243889,"usa",28.64,-309.42,NA,82800,NA,NA,-3024.77610503428,647481.820189898,2058530.52590223,"mexico",NA,NA,NA,-37008.8470088497
"1157",1157,"1980-09-01",12.9,117,10.83,22691,9.5,11.12,-4.25790671951744,3124.21817909571,5363.65176249909,47821.7616243889,"usa",29.2,-327.03,NA,6067,NA,NA,-366.384477430825,6083.81271219,5762116.15961484,"korea",NA,NA,NA,1.26836046249099
"1162",1162,"1980-10-01",12.6,-356,11.83,22994,10,12.23,-0.6,4333,4713,46582.1124730839,"usa",8.7,191.41,NA,23768,8.25,9.5,-1567562.19049309,249170603.540681,9.698,"japan",214.4167,222.4137,0.0372965352045807,2.2
"1163",1163,"1980-10-01",12.6,-356,11.83,22994,10,12.23,-0.6,4333,4713,46582.1124730839,"usa",10.6,865,NA,3949.5,NA,12.25,-1147,397.517425039446,353470.253059,"canada",1.1647,1.1653,0.000515154116939928,-0.0300000000000001
"1167",1167,"1980-10-01",12.6,-356,11.83,22994,10,12.23,-0.6,4333,4713,46582.1124730839,"usa",28.49,-328.09,NA,85400,NA,NA,-3178.61,680566,2036152.15501505,"mexico",NA,NA,NA,-36313.5251388546
"1168",1168,"1980-10-01",12.6,-356,11.83,22994,10,12.23,-0.6,4333,4713,46582.1124730839,"usa",29.8,-33.02,NA,6613.5,NA,NA,-422.7,13969,5720412.02793874,"korea",NA,NA,NA,1.7
"1172",1172,"1980-11-01",12.8,-512,12.42,23966,12,13.79,2.62252420550344,4305.29390811565,4094.94081742682,45364.0740222328,"usa",7.64,-65.58,NA,24736,8.25,9.5,-1488940.59161257,245287846.919352,9.448,"japan",209.3227,230.4845,0.101096536591588,2.45969065233867
"1173",1173,"1980-11-01",12.8,-512,12.42,23966,12,13.79,2.62252420550344,4305.29390811565,4094.94081742682,45364.0740222328,"usa",10.7,931,NA,3679,NA,12.75,-973.366618264309,281.012907436627,349784.178454424,"canada",1.1691,1.1754,0.00538876058506541,0.256153746664217
"1176",1176,"1980-11-01",12.8,-512,12.42,23966,12,13.79,2.62252420550344,4305.29390811565,4094.94081742682,45364.0740222328,"usa",28.2,-391.14,NA,87300,NA,NA,-3342.68617446562,650916.911189538,2013936.55791066,"mexico",NA,NA,NA,-35626.9658233373
"1177",1177,"1980-11-01",12.8,-512,12.42,23966,12,13.79,2.62252420550344,4305.29390811565,4094.94081742682,45364.0740222328,"usa",32.5,-252.29,NA,6406,NA,NA,-578.394311424609,27236.37431953,5678909.60907496,"korea",NA,NA,NA,0.552274271064384
"1182",1182,"1980-12-01",12.6,-543,12.42,25673,13.75,16.06,5.30238681412405,3447.51775118216,3563.92601703351,44167.4562718358,"usa",8.36,-49.86,NA,24936,7.25,8.8,-1412985.47336265,241445627.38453,9.789,"japan",213.1059,244.9842,0.149589007155597,2.42949283920007
"1183",1183,"1980-12-01",12.6,-543,12.42,25673,13.75,16.06,5.30238681412405,3447.51775118216,3563.92601703351,44167.4562718358,"usa",11.1,984,NA,3468.9,NA,13.75,-1154.90117549356,187.786812983416,346123.818047076,"canada",1.1864,1.1797,-0.00564733648010783,0.62646947028284
"1186",1186,"1980-12-01",12.6,-543,12.42,25673,13.75,16.06,5.30238681412405,3447.51775118216,3563.92601703351,44167.4562718358,"usa",28.77,-390.08,NA,90900,NA,NA,-3440.3596840056,579381.1771431,1991883.14044603,"mexico",NA,NA,NA,-34949.1135067423
"1187",1187,"1980-12-01",12.6,-543,12.42,25673,13.75,16.06,5.30238681412405,3447.51775118216,3563.92601703351,44167.4562718358,"usa",31.3,-200.7,NA,6604.2,NA,NA,-753.70993510155,38961.2185918631,5637608.4140235,"korea",NA,NA,NA,-1.16025246941959
"1192",1192,"1981-01-01",12.5,-1578,12.41,26756,18,20.35,7.6,2383,3128,42992.0692218928,"usa",7.21,328.41,NA,25232,7.25,8.8,-1339650.92833592,237643732.269548,9.978,"japan",209.4886,240.3745,0.147434753012813,2.1
"1193",1193,"1981-01-01",12.5,-1578,12.41,26756,18,20.35,7.6,2383,3128,42992.0692218928,"usa",11.1,847,NA,4029.6,NA,18.25,-1623,115.505808346482,342489.081836957,"canada",1.1968,1.17,-0.0223930481283424,1.12
"1197",1197,"1981-01-01",12.5,-1578,12.41,26756,18,20.35,7.6,2383,3128,42992.0692218928,"usa",29.85,-513.87,NA,93100,NA,NA,-3365.57,498575,1969991.30847819,"mexico",NA,NA,NA,-34279.912633514
"1198",1198,"1981-01-01",12.5,-1578,12.41,26756,18,20.35,7.6,2383,3128,42992.0692218928,"usa",32.2,-529.67,NA,6571.4,NA,NA,-845,41198,5596507.95378436,"korea",NA,NA,NA,-2
"1202",1202,"1981-02-01",11.8,-2940,12.67,28316,18,20.16,9.47935131643458,1615.83646281534,2820.19980969665,41837.7228724038,"usa",7.28,-511.92,NA,26502,7.25,8.8,-1268891.04912498,233881948.907741,8.73,"japan",202.3667,237.8886,0.175532338077361,1.51285425118431
"1204",1204,"1981-02-01",11.8,-2940,12.67,28316,18,20.16,9.47935131643458,1615.83646281534,2820.19980969665,41837.7228724038,"usa",12.2,787,NA,3436,NA,18.25,-2291.81329564015,61.83656019249,338879.879824066,"canada",1.1909,1.164,-0.0225879586867077,1.73022747173079
"1207",1207,"1981-02-01",11.8,-2940,12.67,28316,18,20.16,9.47935131643458,1615.83646281534,2820.19980969665,41837.7228724038,"usa",27.8,-98.99,NA,95800,NA,NA,-3069.25301973592,441251.699255705,1948260.46786412,"mexico",NA,NA,NA,-33619.307648097
"1208",1208,"1981-02-01",11.8,-2940,12.67,28316,18,20.16,9.47935131643458,1615.83646281534,2820.19980969665,41837.7228724038,"usa",28.8,-435.39,NA,6031.4,NA,NA,-781.819556136688,29687.310213266,5555607.73935755,"korea",NA,NA,NA,-0.969878280047127
"1212",1212,"1981-03-01",11.4,-1354,13.41,29682,16,19.43,10.1187298333916,1173.19229765713,2773.53305825574,40704.2272233689,"usa",6.28,61.02,NA,26685,7.25,8.8,-1200659.92832241,230160064.632441,8.865,"japan",205.7167,244.35,0.187798559864124,0.913892417318972
"1214",1214,"1981-03-01",11.4,-1354,13.41,29682,16,19.43,10.1187298333916,1173.19229765713,2773.53305825574,40704.2272233689,"usa",12.1,830,NA,3341.4,NA,18.25,-3006.50676844755,24.4457351881071,335296.122008403,"canada",1.1984,1.1555,-0.0357977303070761,2.26835124847416
"1217",1217,"1981-03-01",11.4,-1354,13.41,29682,16,19.43,10.1187298333916,1173.19229765713,2773.53305825574,40704.2272233689,"usa",24.4,-494.26,NA,6206.6,NA,NA,-626.531337718532,14914.2388462837,5514907.28174305,"korea",NA,NA,NA,1.16524200777996
"1218",1218,"1981-03-01",11.4,-1354,13.41,29682,16,19.43,10.1187298333916,1173.19229765713,2773.53305825574,40704.2272233689,"usa",27.98,-265.82,NA,98100,NA,NA,-2730.33034412852,440713.063830295,1926690.02446083,"mexico",NA,NA,NA,-32967.2429949356
"1221",1221,"1981-04-01",10.5,1023,13.1,30410,16,18.05,8.5,963,3146,39591.392274788,"usa",6.12,215.62,NA,27020,7.25,8.8,-1134911.65852082,226477866.776982,7.817,"japan",208.7918,248.4786,0.190078345988684,0.6
"1224",1224,"1981-04-01",10.5,1023,13.1,30410,16,18.05,8.5,963,3146,39591.392274788,"usa",12.7,771,NA,3715.5,NA,17.75,-3595,1,331737.718389969,"canada",1.1914,1.1731,-0.0153600805774719,2.5
"1228",1228,"1981-04-01",10.5,1023,13.1,30410,16,18.05,8.5,963,3146,39591.392274788,"usa",22.3,-487,NA,6032.8,NA,NA,-474.7,11050,5474406.09194087,"korea",NA,NA,NA,3.2
"1229",1229,"1981-04-01",10.5,1023,13.1,30410,16,18.05,8.5,963,3146,39591.392274788,"usa",28.08,-45.3,NA,101500,NA,NA,-2584.72,530398,1905279.38412531,"mexico",NA,NA,NA,-32323.6631184742
"1231",1231,"1981-05-01",10,-1482,14.08,29693,16,17.15,4.24155201023971,908.804685067425,3982.11179563842,38499.0280266611,"usa",4.96,94.26,NA,27344,6.25,8.5,-1071600.33231279,222835142.674697,8.008,"japan",214.9759,250.275,0.164200266169371,0.751855305887055
"1234",1234,"1981-05-01",10,-1482,14.08,29693,16,17.15,4.24155201023971,908.804685067425,3982.11179563842,38499.0280266611,"usa",12.6,333,NA,3164.6,NA,18.25,-3932.56538436027,-10.8339787051647,328204.578968764,"canada",1.191,1.1861,-0.00411418975650724,2.2618252553015
"1237",1237,"1981-05-01",10,-1482,14.08,29693,16,17.15,4.24155201023971,908.804685067425,3982.11179563842,38499.0280266611,"usa",22.4,-544.87,NA,6086.5,NA,NA,-397.771908473085,27226.1255681466,5434103.68095101,"korea",677.1679,NA,NA,4.19390551579079
"1238",1238,"1981-05-01",10,-1482,14.08,29693,16,17.15,4.24155201023971,908.804685067425,3982.11179563842,38499.0280266611,"usa",28.72,79.11,NA,105500,NA,NA,-2802.06359844256,717643.92141727,1884027.95271458,"mexico",NA,NA,NA,-31688.5124631575
"1241",1241,"1981-06-01",9.8,-1352,13.4,29395,16,19.61,-0.492120962505282,996.601947078211,4872.423231425,37426.9444789883,"usa",5.05,1.12,NA,27735,6.25,8.5,-1010680.04229091,219231679.65892,8.522,"japan",220.6285,228.6286,0.0362605012498385,1.08530786189441
"1244",1244,"1981-06-01",9.8,-1352,13.4,29395,16,19.61,-0.492120962505282,996.601947078211,4872.423231425,37426.9444789883,"usa",12.2,286,NA,3178.2,NA,19.5,-4083.88656553104,-13.3895342607202,324696.613744787,"canada",1.201,1.1741,-0.0223980016652791,1.67456998026497
"1247",1247,"1981-06-01",9.8,-1352,13.4,29395,16,19.61,-0.492120962505282,996.601947078211,4872.423231425,37426.9444789883,"usa",21.3,-451.17,NA,5658.4,NA,NA,-370.720269579879,52415.4186155947,5393999.55977348,"korea",681.905,NA,NA,4.2659511049664
"1248",1248,"1981-06-01",9.8,-1352,13.4,29395,16,19.61,-0.492120962505282,996.601947078211,4872.423231425,37426.9444789883,"usa",28.57,-189.22,NA,109700,NA,NA,-3286.89708762847,905382.271239424,1862935.13608562,"mexico",NA,NA,NA,-31061.7354734297
"1251",1251,"1981-07-01",9.6,-1274,13.85,29582,15.5,20.03,-2.9,1228,5294,36374.9516317694,"usa",4.9,327.94,NA,27837,6.25,8.5,-952104.881047782,215667265.062983,8.489,"japan",224.1805,217.9176,-0.0279368633757173,1.2
"1253",1253,"1981-07-01",9.6,-1274,13.85,29582,15.5,20.03,-2.9,1228,5294,36374.9516317694,"usa",12.8,667,NA,3054.6,NA,20,-4161,-9,321213.732718039,"canada",1.2041,1.1516,-0.0436010298147994,0.93
"1258",1258,"1981-07-01",9.6,-1274,13.85,29582,15.5,20.03,-2.9,1228,5294,36374.9516317694,"usa",23.2,-257.2,NA,6206.7,NA,NA,-344.4,70551,5354093.23940826,"korea",684.3727,NA,NA,3.8
"1259",1259,"1981-07-01",9.6,-1274,13.85,29582,15.5,20.03,-2.9,1228,5294,36374.9516317694,"usa",27.83,-694.06,NA,90600,NA,NA,-3877.48,970443,1842000.34009544,"mexico",NA,NA,NA,-30443.2765937353
"1261",1261,"1981-08-01",10.8,375,14.65,28867,15.5,20.39,-1.18630009813417,1577.981833952,4982.72337812005,35342.8594850046,"usa",4.38,342.86,NA,27514,6.25,8.5,-895828.941175994,212141686.22022,8.329,"japan",232.3261,221.1364,-0.0481637663611621,0.827872673415622
"1264",1264,"1981-08-01",10.8,375,14.65,28867,15.5,20.39,-1.18630009813417,1577.981833952,4982.72337812005,35342.8594850046,"usa",12.9,520,NA,2307.4,NA,21,-4246.29553728915,-0.610035491392219,317755.845888518,"canada",1.2107,1.1523,-0.0482365573635087,0.20580484039655
"1267",1267,"1981-08-01",10.8,375,14.65,28867,15.5,20.39,-1.18630009813417,1577.981833952,4982.72337812005,35342.8594850046,"usa",23.4,-472.17,NA,5614.9,NA,NA,-292.218735896899,70053.5578845178,5314384.23085537,"korea",686.4674,NA,NA,3.16092288355064
"1268",1268,"1981-08-01",10.8,375,14.65,28867,15.5,20.39,-1.18630009813417,1577.981833952,4982.72337812005,35342.8594850046,"usa",26.55,-1180.57,NA,99600,NA,NA,-4427.34369760494,839437.096556696,1821222.97060103,"mexico",NA,NA,NA,-29833.0802685188
"1271",1271,"1981-09-01",10.8,-3011,15.37,29265,15.5,20.5,2.4238280907036,1915.02954365966,4709.73697900723,34330.4780386939,"usa",4.13,173.95,NA,27660,6.25,8.5,-841806.315268139,208654730.463965,8.275,"japan",233.3262,223.9138,-0.0403400903970492,0.230061320288567
"1274",1274,"1981-09-01",10.8,-3011,15.37,29265,15.5,20.5,2.4238280907036,1915.02954365966,4709.73697900723,34330.4780386939,"usa",12.5,559,NA,3292.1,NA,22.75,-4303.5765990579,6.39039475649534,314322.863256227,"canada",1.2232,1.1592,-0.052321778940484,-0.376631169534021
"1277",1277,"1981-09-01",10.8,-3011,15.37,29265,15.5,20.5,2.4238280907036,1915.02954365966,4709.73697900723,34330.4780386939,"usa",22.6,-346.9,NA,5718.4,NA,NA,-277.794991369359,57294.0496543005,5274872.04511479,"korea",687.8071,NA,NA,2.63762023902108
"1278",1278,"1981-09-01",10.8,-3011,15.37,29265,15.5,20.5,2.4238280907036,1915.02954365966,4709.73697900723,34330.4780386939,"usa",26.54,-386.59,NA,119600,NA,NA,-4851.10686091315,638099.70306386,1800602.4334594,"mexico",NA,NA,NA,-29231.0909422245
"1281",1281,"1981-10-01",11,-523,15.82,29715,15.5,20.08,4.7,2081,5505,33337.6172928371,"usa",4.07,531.82,NA,27980,6.25,8.5,-789991.09591681,205206185.12755,8.2,"japan",229.481,214.4167,-0.0656450860855583,-0.2
"1285",1285,"1981-10-01",11,-523,15.82,29715,15.5,20.08,4.7,2081,5505,33337.6172928371,"usa",12.7,109,NA,2997.1,NA,21.25,-4267,6,310914.694821164,"canada",1.2008,1.1647,-0.0300632911392405,-0.71
"1288",1288,"1981-10-01",11,-523,15.82,29715,15.5,20.08,4.7,2081,5505,33337.6172928371,"usa",21.9,-112.51,NA,5726.2,NA,NA,-387.3,43131,5235556.19318654,"korea",686.7,NA,NA,2.5
"1289",1289,"1981-10-01",11,-523,15.82,29715,15.5,20.08,4.7,2081,5505,33337.6172928371,"usa",27.47,-19.35,NA,99600,NA,NA,-5078.66,541947,1780138.13452755,"mexico",NA,NA,NA,-28637.2530592971
"1291",1291,"1981-11-01",10.1,-2919,14.61,30248,15.5,18.45,3.30735208600069,1946.93464579126,7904.06876595547,32364.0872474344,"usa",4.06,485.83,NA,28448,6.25,8.5,-740337.375714598,201795837.544309,7.916,"japan",231.519,209.3227,-0.0958724769889297,-0.170753406956948
"1296",1296,"1981-11-01",10.1,-2919,14.61,30248,15.5,18.45,3.30735208600069,1946.93464579126,7904.06876595547,32364.0872474344,"usa",12.8,842,NA,2807.3,NA,20,-4073.25246648313,-4.72587932926645,307531.250583329,"canada",1.2029,1.1691,-0.0280987613267936,-0.737637209480292
"1297",1297,"1981-11-01",10.1,-2919,14.61,30248,15.5,18.45,3.30735208600069,1946.93464579126,7904.06876595547,32364.0872474344,"usa",18.3,46.5,NA,5949.6,NA,NA,-659.960555346728,35742.3095604488,5196436.18607061,"korea",683.8143,NA,NA,2.87351406111776
"1298",1298,"1981-11-01",10.1,-2919,14.61,30248,15.5,18.45,3.30735208600069,1946.93464579126,7904.06876595547,32364.0872474344,"usa",28.36,-657.82,NA,96600,NA,NA,-5070.144944471,666989.655318908,1759829.47966248,"mexico",NA,NA,NA,-28051.5110641808
"1301",1301,"1981-12-01",9.6,-2360,13.22,31001,13,16.84,-0.506895104012813,1500.6132116165,10464.8881118053,31409.6979024857,"usa",3.79,-38.44,NA,28779,6.25,8.9,-692799.247254098,198423475.047576,7.928,"japan",223.1267,213.1059,-0.0449108062818121,0.201854264358727
"1304",1304,"1981-12-01",9.6,-2360,13.22,31001,13,16.84,-0.506895104012813,1500.6132116165,10464.8881118053,31409.6979024857,"usa",12.2,989,NA,4555.1,NA,17.25,-3669.14037157069,-16.5053780985945,304172.440542723,"canada",1.1872,1.1864,-0.000673854447439466,-0.605452709536287
"1307",1307,"1981-12-01",9.6,-2360,13.22,31001,13,16.84,-0.506895104012813,1500.6132116165,10464.8881118053,31409.6979024857,"usa",16.6,-428.76,NA,6392.5,NA,NA,-947.225690868609,32583.3827672032,5157511.534767,"korea",688.5639,NA,NA,3.30579016117149
"1308",1308,"1981-12-01",9.6,-2360,13.22,31001,13,16.84,-0.506895104012813,1500.6132116165,10464.8881118053,31409.6979024857,"usa",28.6,-14.35,NA,107000,NA,NA,-4906.70880205225,891216.286875506,1739675.87472118,"mexico",NA,NA,NA,-27473.8094013202
"1311",1311,"1982-01-01",8.9,134,13.96,30075,13,15.75,-4.6,759,11251,30474.2592579911,"usa",4.19,320.74,NA,28403,6.25,8.6,-647330.803127902,195088884.970684,7.261,"japan",218.9545,209.4886,-0.0432322697181378,0.7
"1314",1314,"1982-01-01",8.9,134,13.96,30075,13,15.75,-4.6,759,11251,30474.2592579911,"usa",12.1,599,NA,4371.1,NA,17.25,-3004,-17,300838.174699346,"canada",1.1851,1.1968,0.00987258459201759,-0.51
"1317",1317,"1982-01-01",8.9,134,13.96,30075,13,15.75,-4.6,759,11251,30474.2592579911,"usa",13.7,-893.9,NA,6891,NA,NA,-1053.6,28429,5118781.75027571,"korea",694.6841,NA,NA,3.2
"1319",1319,"1982-01-01",8.9,134,13.96,30075,13,15.75,-4.6,759,11251,30474.2592579911,"usa",28.68,-403.89,NA,132100,NA,NA,-4699.75,1033110,1719676.72556067,"mexico",NA,NA,NA,-26904.0925151597
"1321",1321,"1982-02-01",8.4,-2895,14.11,30097,15,15.75,-7.17644157920191,-157.868565265175,9013.26081731735,29557.5813139504,"usa",3.14,-408.01,NA,28245,5.5,8.6,-603886.135928601,191791854.646966,7.134,"japan",224.805,202.3667,-0.099812281755299,1.13291873218995
"1324",1324,"1982-02-01",8.4,-2895,14.11,30097,15,15.75,-7.17644157920191,-157.868565265175,9013.26081731735,29557.5813139504,"usa",11.3,1079,NA,4297.7,NA,16.5,-2078.91681900055,1.32836762327286,297528.363053197,"canada",1.1926,1.1909,-0.00142545698473925,-0.594885632105013
"1327",1327,"1982-02-01",8.4,-2895,14.11,30097,15,15.75,-7.17644157920191,-157.868565265175,9013.26081731735,29557.5813139504,"usa",12.4,-359.25,NA,6315.1,NA,NA,-855.409413086559,20359.2038736869,5080246.34359673,"korea",705.17,NA,NA,2.19316902012647
"1328",1328,"1982-02-01",8.4,-2895,14.11,30097,15,15.75,-7.17644157920191,-157.868565265175,9013.26081731735,29557.5813139504,"usa",30.86,-116.07,NA,96200,NA,NA,-4529.62504302957,964292.541426932,1699831.43803792,"mexico",NA,NA,NA,-26342.3048501437
"1331",1331,"1982-03-01",7.6,138,13.94,30061,15,16.56,-7.82958100798568,-717.667575310834,5251.78464784547,28659.4740703638,"usa",3.27,81.67,NA,28122,5.5,8.6,-562419.338248789,188532171.409755,7.263,"japan",235.3056,205.7167,-0.125746688561598,1.41807717783208
"1334",1334,"1982-03-01",7.6,138,13.94,30061,15,16.56,-7.82958100798568,-717.667575310834,5251.78464784547,28659.4740703638,"usa",11.4,1072,NA,3500.5,NA,16.5,-1101.97302577046,26.8163028230677,294242.915604276,"canada",1.214,1.1984,-0.0128500823723229,-0.791928362691199
"1337",1337,"1982-03-01",7.6,138,13.94,30061,15,16.56,-7.82958100798568,-717.667575310834,5251.78464784547,28659.4740703638,"usa",12,-185.68,NA,6241,NA,NA,-516.265208119165,14675.0859435535,5041904.82573008,"korea",710.0556,NA,NA,0.857737634811487
"1338",1338,"1982-03-01",7.6,138,13.94,30061,15,16.56,-7.82958100798568,-717.667575310834,5251.78464784547,28659.4740703638,"usa",32.74,-181.28,NA,104700,NA,NA,-4352.52274569265,768940.22350819,1680139.41800996,"mexico",NA,NA,NA,-25788.3908507167
"1341",1341,"1982-04-01",6.8,-462,14.14,29944,15,16.5,-6.5,-285,2154,27779.7475272312,"usa",2.88,203.17,NA,27231,5.5,8.4,-522884.502681058,185309622.592384,6.986,"japan",241.2283,208.7918,-0.134463908256204,1.5
"1345",1345,"1982-04-01",6.8,-462,14.14,29944,15,16.5,-6.5,-285,2154,27779.7475272312,"usa",11,-312.45,NA,6297.6,NA,NA,-271.6,19983,5003756.70767575,"korea",714.6761,NA,NA,0
"1347",1347,"1982-04-01",6.8,-462,14.14,29944,15,16.5,-6.5,-285,2154,27779.7475272312,"usa",11.5,1170,NA,2968.7,NA,17,-333,43,290981.742352584,"canada",1.2205,1.1914,-0.0238426874231871,-0.98
"1349",1349,"1982-04-01",6.8,-462,14.14,29944,15,16.5,-6.5,-285,2154,27779.7475272312,"usa",34.71,-324.22,NA,150900,NA,NA,-4093.59,584368,1660600.07133377,"mexico",NA,NA,NA,-25242.2949613231
"1351",1351,"1982-05-01",6.5,1322,13.84,31556,13,16.5,-3.41640058400787,1422.46554119537,1323.18426107144,26918.2116845527,"usa",2.99,121.37,NA,26807,5.5,8.4,-485235.721818002,182123995.528188,7.133,"japan",244.1068,214.9759,-0.119336700165665,1.35018958930826
"1355",1355,"1982-05-01",6.5,1322,13.84,31556,13,16.5,-3.41640058400787,1422.46554119537,1323.18426107144,26918.2116845527,"usa",10.2,-398.75,NA,6468.5,NA,NA,-288.998088603331,40700.9860559147,4965801.50043374,"korea",721.0318,677.1679,-0.0608349035368481,0.183439488005993
"1356",1356,"1982-05-01",6.5,1322,13.84,31556,13,16.5,-3.41640058400787,1422.46554119537,1323.18426107144,26918.2116845527,"usa",11.4,1285,NA,3521.2,NA,17,55.0678906334924,38.7457421695084,287744.753298121,"canada",1.2252,1.191,-0.0279138099902057,-1.06393137321077
